City_ID,City,Country,Date Processed,Latitude,Longitude,Temperature Max,Humidity,Cloudiness,Wind Speed
0,Tatarsk,RU,1561607432,55.22,75.96,52.25,89,100,9.73
1,Saint-Augustin,CA,1561607184,45.63,-73.98,71.6,83,20,8.05
2,Chernoyerkovskaya,RU,1561607529,45.43,37.76,68.0,72,0,8.95
3,Tovarkovskiy,RU,1561607529,53.68,38.22,57.11,96,100,7.09
4,Maldonado,UY,1561607529,-34.91,-54.96,44.6,81,0,3.36
5,New Norfolk,AU,1561607062,-42.78,147.06,59.0,58,0,13.87
6,Cape Town,ZA,1561607046,-33.93,18.42,57.0,100,0,5.82
7,Hobart,AU,1561607071,-42.88,147.33,59.0,58,0,13.87
8,Joshimath,IN,1561607529,30.57,79.57,62.51,50,0,3.65
9,Hermanus,ZA,1561607042,-34.42,19.24,50.0,98,0,3.0
10,Butaritari,KI,1561607039,3.07,172.79,83.75,75,1,12.95
11,Puerto Madero,AR,1561607530,-34.61,-58.36,52.0,53,0,17.22
12,Rancho Veloz,CU,1561607530,22.88,-80.39,77.0,78,20,5.82
13,Santa Cruz,US,1561607342,36.97,-122.03,64.99,52,1,17.22
14,Albany,US,1561607532,42.65,-73.75,69.01,100,1,3.85
15,Kargasok,RU,1561607532,59.06,80.87,55.49,97,100,4.68
16,Ushuaia,AR,1561607044,-54.81,-68.31,28.4,92,90,18.34
17,Klaksvik,FO,1561607083,62.23,-6.59,50.0,100,49,9.17
18,Banda Aceh,ID,1561607137,5.56,95.32,83.75,75,98,14.09
19,Ust-Kuyga,RU,1561607532,70.0,135.55,81.41,21,1,2.46
20,Ucluelet,CA,1561607438,48.94,-125.55,62.01,87,100,3.0
21,Binga,ZW,1561607150,-17.62,27.34,55.67,67,1,3.47
22,Mabaruma,GY,1561607533,8.2,-59.78,71.15,98,0,2.15
23,Dikson,RU,1561607087,73.51,80.55,34.07,93,85,16.11
24,Ciampea,ID,1561607533,-6.55,106.7,89.6,43,0,6.93
25,Busselton,AU,1561607043,-33.64,115.35,60.01,44,30,29.59
26,Yacuiba,AR,1561607533,-22.01,-63.68,43.07,81,0,2.46
27,Mayo,CA,1561607179,63.59,-135.9,69.8,28,20,3.36
28,Rundu,NA,1561607534,-17.91,19.77,53.6,46,0,3.36
29,Punta Arenas,CL,1561607076,-53.16,-70.91,24.8,85,0,10.29
30,Tuktoyaktuk,CA,1561607065,69.44,-133.03,41.0,80,90,12.75
31,Longyearbyen,NO,1561607126,78.22,15.63,39.2,86,75,13.87
32,Rikitea,PF,1561607534,-23.12,-134.97,74.21,81,0,10.65
33,Tailai,CN,1561607534,46.39,123.41,75.65,59,1,17.18
34,Kapaa,US,1561607090,22.08,-159.32,80.6,78,75,11.41
35,Wladyslawowo,PL,1561607535,54.79,18.4,66.0,88,75,19.46
36,La Ronge,CA,1561607126,55.1,-105.3,60.8,72,75,3.36
37,Jamestown,AU,1561607073,-33.21,138.6,64.49,49,0,16.24
38,Pisco,PE,1561607086,-13.71,-76.2,61.0,87,90,2.24
39,Souillac,FR,1561607535,45.6,-0.6,80.6,69,0,6.93
40,Provideniya,RU,1561607087,64.42,-173.23,51.8,87,90,11.18
41,Yellowknife,CA,1561607068,62.45,-114.38,51.8,81,75,17.22
42,Imbituba,BR,1561606897,-28.24,-48.67,57.2,67,75,9.17
43,Platteville,US,1561607332,42.73,-90.48,75.2,73,1,5.82
